name,arabidopsis_gene,isTF,isTR,gene_annotation
LOC111982897,AT1G03670,0,0,protein ACCELERATED CELL DEATH 6
LOC111982898,AT2G44745,1,0,probable WRKY transcription factor 12
LOC111982902,AT1G61720,0,0,NADPH HC-toxin reductase 1
LOC111982904,AT4G22160,0,0,No Description available
LOC111982905,AT4G27500,0,0,proton pump-interactor 1
LOC111982906,AT3G15354,0,0,protein SPA1-RELATED 3
LOC111982907,AT1G53050,0,0,probable serine/threonine-protein kinase At1g54610
LOC111982912,AT1G53130,0,0,protein GRIM REAPER
LOC111982919,AT1G53040,0,0,probable hexosyltransferase MUCI70
LOC111982920,AT3G15350,0,0,beta-glucuronosyltransferase GlcAT14B
LOC111982921,AT1G53140,0,0,dynamin-related protein 5A
LOC111982923,AT1G53035,0,0,No Description available
LOC111982924,AT1G53120,0,0,No Description available
LOC111982925,AT1G28280,0,0,VQ motif-containing protein 4
LOC111982929,AT2G36790,0,0,UDP-glycosyltransferase 73C11
LOC111982930,AT1G19260,0,0,cuscuta receptor 1-like
LOC111982932,AT5G48030,0,0,"chaperone protein dnaJ GFA2, mitochondrial-like"
LOC111982944,AT3G47570,0,0,probable LRR receptor-like serine/threonine-protein kinase At3g47570
LOC111982947,--,0,0,No Description available
LOC111982950,AT1G74170,0,0,cuscuta receptor 1
LOC111982951,AT1G05600,0,0,pentatricopeptide repeat-containing protein At1g05600
LOC111982952,AT1G58190,0,0,cuscuta receptor 1
LOC111982953,--,0,0,No Description available
LOC111982954,AT5G38840,0,0,No Description available
LOC111982955,AT5G17310,0,0,UTP--glucose-1-phosphate uridylyltransferase
LOC111982956,AT1G51760,0,0,IAA-amino acid hydrolase ILR1-like 4
LOC111982957,AT5G03730,0,0,serine/threonine-protein kinase CTR1
LOC111982969,AT5G15700,0,0,"DNA-directed RNA polymerase 2B, chloroplastic/mitochondrial"
LOC111982971,AT1G51760,0,0,IAA-amino acid hydrolase ILR1-like 4
LOC111982972,AT1G33250,0,0,No Description available
LOC111982973,AT4G04850,0,0,"K(+) efflux antiporter 3, chloroplastic"
LOC111982974,AT4G29390,0,0,small ribosomal subunit protein eS30z/eS30y/eS30x
LOC111982975,AT5G56680,0,0,"asparagine--tRNA ligase, cytoplasmic 1"
LOC111982976,AT5G57090,0,0,auxin efflux carrier component 2
LOC111982978,AT4G32551,0,0,transcriptional corepressor LEUNIG
LOC111982980,AT1G15520,0,0,pleiotropic drug resistance protein 1
LOC111982982,AT4G32620,0,0,No Description available
LOC111982983,AT1G15520,0,0,pleiotropic drug resistance protein 1
LOC111982986,AT2G25620,1,0,probable protein phosphatase 2C 22
LOC111982988,AT5G25520,0,0,No Description available
LOC111982989,AT5G41560,0,0,DET1- and DDB1-associated protein 1
LOC111982990,AT1G63980,0,0,G-patch domain-containing protein 1
LOC111983000,AT1G15550,0,0,gibberellin 3-beta-dioxygenase 1
LOC111983004,--,0,0,"putative pentatricopeptide repeat-containing protein At3g16710, mitochondrial"
LOC111983005,AT5G25540,0,0,polyadenylate-binding protein-interacting protein 5
LOC111983006,AT4G23560,0,0,endoglucanase
LOC111983008,AT1G64000,1,0,probable WRKY transcription factor 43
LOC111983009,AT4G32600,0,0,E3 ubiquitin-protein ligase At1g63170
LOC111983010,AT1G45150,0,0,No Description available
LOC111983011,AT2G25660,0,0,"protein TIC236, chloroplastic"
LOC111983012,AT4G32551,0,1,transcriptional corepressor LEUNIG
LOC111983014,AT5G11350,0,0,carbon catabolite repressor protein 4 homolog 6
LOC111983015,AT4G32570,0,0,protein TIFY 8
LOC111983016,AT5G11300,0,0,cyclin-A2-2
LOC111983019,AT5G25530,0,0,No Description available
LOC111983020,AT4G32560,0,0,No Description available
LOC111983022,AT5G25510,0,0,serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' kappa isoform
LOC111983024,AT3G24350,0,0,syntaxin-32
LOC111983025,AT5G11450,0,0,"psbP domain-containing protein 5, chloroplastic"
LOC111983026,AT2G25605,0,0,No Description available
LOC111983027,AT5G40670,0,0,cystinosin homolog
LOC111983028,AT2G25670,0,0,No Description available
LOC111983032,AT4G23550,1,0,probable WRKY transcription factor 29
LOC111983033,AT5G40670,0,0,cystinosin homolog
LOC111983036,AT1G08610,0,0,pentatricopeptide repeat-containing protein At1g08610
LOC111983037,AT3G04760,0,0,"pentatricopeptide repeat-containing protein At3g04760, chloroplastic"
LOC111983038,AT4G37560,0,0,No Description available
LOC111983039,--,0,0,No Description available
LOC111983041,AT1G75140,0,0,No Description available
LOC111983042,AT2G37980,0,0,O-fucosyltransferase 19
LOC111983043,--,0,0,No Description available
LOC111983047,AT1G10095,0,0,No Description available
LOC111983049,--,0,0,No Description available
LOC111983050,AT3G14470,0,0,putative disease resistance protein RGA3
